loss_type,iter_1,iter_2,iter_3,iter_4,iter_5,iter_6,iter_7,iter_8,iter_9,iter_10,iter_11,iter_12,iter_13,iter_14,iter_15,iter_16,iter_17,iter_18,iter_19,iter_20
total_loss_supervised,2.51587873611526e22,2.202281384702421e22,2.202276430742831e22,2.2013644518182886e22,2.2013644518182886e22,2.2013644518182886e22,2.2013644518182886e22,2.2013644518182886e22,2.20136467699827e22,2.201364001458326e22,2.2013644518182886e22,2.2013644518182886e22,2.2013644518182886e22,2.2013644518182886e22,2.2013644518182886e22,2.2013644518182886e22,2.201364226638307e22,2.2013644518182886e22,2.20136467699827e22,2.2013644518182886e22
total_loss,2.51587873611526e22,2.2022822854223467e22,2.2022784573626634e22,2.2013649021782513e22,2.20136467699827e22,2.2013649021782513e22,2.2013644518182886e22,2.2013649021782513e22,2.20136467699827e22,2.2013644518182886e22,2.2013644518182886e22,2.20136467699827e22,2.20136467699827e22,2.2013649021782513e22,2.201364226638307e22,2.2013644518182886e22,2.201364226638307e22,2.20136467699827e22,2.20136467699827e22,2.20136467699827e22
total_loss_bc,3.446031332015991,511.16265869140625,3.860757e6,2.90613425e6,1.999974e6,573347.0,6.183554e6,6.365322e6,1.33436175e6,1.157470625e6,1.30484025e6,1.2981525e6,1.2980535e6,1.298207875e6,1.2983805e6,1.30284525e6,1.287956625e6,1.301874125e6,1.303407e6,1.305384875e6
total_loss_pde,38.53594970703125,9.031042765684736e15,2.2883151961391104e16,4.021940788396032e15,2.567959067230208e15,2.299625348268032e15,1.087360158662656e15,9.54191207989248e14,9.29133093715968e14,9.27829168488448e14,9.25283662168064e14,9.25266012536832e14,9.25265878319104e14,9.25267019169792e14,9.25268764000256e14,9.25185414791168e14,9.25121258717184e14,9.2444708306944e14,9.2441822625792e14,9.2439406706688e14
