iteration,total,bc,pde,supervised
1,2256.8303,1.7203871,107.453156,0.31393933
100,46.483902,1.4336835,2.2003617,0.27630705
200,11.172425,0.583819,0.52121663,0.22687648
300,5.839612,0.6916334,0.26719797,0.22845438
400,3.7532272,0.963984,0.16736025,0.23866206
500,2.5022793,1.1958663,0.10737013,0.24750674
600,1.7568374,1.304946,0.071707785,0.25097388
700,1.2850033,1.2990483,0.04932086,0.24926516
800,0.99148136,1.2220259,0.03557574,0.24439085
900,0.7963806,1.1155405,0.026579965,0.23820132
1000,0.6677952,1.0092744,0.020745993,0.23212935
1100,0.58286417,0.91663915,0.016959982,0.22670451
1200,0.5229063,0.8428862,0.014317535,0.2222381
1300,0.47940463,0.78684133,0.012420359,0.21857707
1400,0.44459456,0.74621063,0.0109000765,0.21569297
1500,0.41701323,0.7169119,0.009701204,0.21328795
1600,72.285904,0.69827586,3.4321122,0.21154621
1700,0.37062263,0.6847024,0.007748308,0.20790818
1800,121.564064,0.6786259,5.7789116,0.20691732
1900,0.3461116,0.67207223,0.0067895968,0.20353004
2000,1.0510545,0.66857797,0.040399447,0.2026661
2100,0.34777588,0.66567385,0.007055187,0.19961695
2200,0.29457325,0.6651262,0.0045505837,0.19901098
2300,2.2296717,0.66712713,0.09686468,0.19551352
2400,0.27264482,0.6653181,0.0037006424,0.19493134
2500,0.2656313,0.66328794,0.0033938524,0.19436039
2600,0.6282266,0.6645588,0.020796625,0.19149745
2700,0.2500933,0.66184705,0.0028177497,0.19092058
2800,81.69965,0.66299486,3.881422,0.18978909
2900,0.23872747,0.6567255,0.002415667,0.18799846
3000,340.3143,0.65787464,16.196495,0.18789177
3100,0.23511109,0.65577024,0.0024208098,0.18427408
3200,0.22343086,0.6537904,0.0018835436,0.18387644
3300,34.401867,0.64989674,1.6294489,0.18344098
3400,0.21631534,0.6469548,0.0017016466,0.18058077
3500,0.21315001,0.64489067,0.001568765,0.18020594
3600,0.20876457,0.6427348,0.0014760882,0.17776671
3700,0.20620036,0.63958937,0.0013752142,0.17732087
3800,110.13329,0.637962,5.236038,0.17649063
3900,0.20004371,0.6372205,0.0012650047,0.1734786
4000,0.19773811,0.63505346,0.001172337,0.17311904
4100,0.19705424,0.6278076,0.0011661099,0.17256592
4200,0.21294941,0.6209902,0.0020571833,0.16974856
4300,0.19189371,0.62214404,0.0010617933,0.16959605
4400,159.73384,0.61595154,7.598377,0.16791947
4500,0.19131483,0.6167139,0.0011877284,0.16637254
4600,0.18676725,0.6136737,0.000989062,0.16599695
4700,1.2036012,0.61558086,0.049497776,0.16414799
4800,0.18248118,0.6069647,0.00091002503,0.16337065
4900,34.735615,0.60627055,1.6463387,0.16250408
5000,0.17950943,0.60003316,0.0008940596,0.16073418
5100,1.9813267,0.59629714,0.08671736,0.16026215
5200,0.1788358,0.5919133,0.0009796885,0.15826234
5300,0.17729962,0.5912352,0.0009213556,0.15795115
5400,0.27429307,0.58537734,0.005665579,0.1553159
5500,0.17181084,0.5891445,0.00078796985,0.15526347
5600,3.9897962,0.58385915,0.18261553,0.15487
5700,0.18975766,0.581679,0.0017800876,0.15237582
5800,0.1680715,0.5814904,0.0007559897,0.1521957
5900,12.810984,0.5822687,0.60287434,0.15062238
6000,0.16631891,0.574635,0.0007791303,0.14995717
6100,18.525772,0.5834916,0.8750897,0.1488867
6200,0.1634821,0.5708738,0.000749712,0.14773814
6300,20.435928,0.5685764,0.9661144,0.1475258
6400,0.16385244,0.56593543,0.0008874914,0.14521512
6500,0.15980162,0.56538755,0.0007012737,0.14507487
6600,0.16114217,0.56806195,0.0008507379,0.14327668
