loss_type,iter_1,iter_2,iter_3,iter_4,iter_5,iter_6,iter_7,iter_8,iter_9,iter_10
total_loss_supervised,5.508787867746304e15,4.428910146093056e15,4.428901556158464e15,4.425415653326848e15,4.425415653326848e15,4.42541619019776e15,4.42541619019776e15,4.425415653326848e15,4.425415653326848e15,4.425415384891392e15
total_loss,5.508787330875392e15,4.42891524636672e15,4.42890585112576e15,4.42541753237504e15,4.425416995504128e15,4.425416995504128e15,4.425416458633216e15,4.42541619019776e15,4.42541619019776e15,4.42541619019776e15
total_loss_bc,5.1522603034973145,386.7740783691406,2203.870849609375,141.35377502441406,3522.749755859375,818.6940307617188,5295.92724609375,803.7200317382812,2328.306884765625,264.7796630859375
total_loss_pde,31.09218978881836,4.794963968e9,4.481250816e9,1.93099072e9,1.19462336e9,9.0943904e8,3.5135072e8,3.28005152e8,3.266176e8,3.61290784e8
